time,Strain_pin01,Strain_pin05,Status
100,5,423,0
200,5,753,1
301,5,217,0
401,5,42,0
502,5,898,1
603,5,712,1
703,5,728,1
803,5,510,0
905,5,835,1
1005,5,77,0
1105,5,152,0
1206,5,85,0
1307,5,652,0
1408,5,994,1
1508,5,179,0
1608,5,839,1
1710,5,279,0
1810,5,273,0
1910,5,920,1
2011,5,340,0
2112,5,559,0
2212,5,785,1
2313,5,557,0
2413,5,773,1
2514,5,600,0
2615,5,757,1
2715,5,363,0
2817,5,470,0
2917,5,904,1
3017,5,263,0
3118,5,153,0
3219,5,146,0
3319,5,840,1
3420,5,307,0
3520,5,610,0
3621,5,65,0
3722,5,243,0
3822,5,781,1
3922,5,35,0
4024,5,741,1
4124,5,95,0
4225,5,304,0
4325,5,721,1
4426,5,712,1
4527,5,493,0
4627,5,353,0
4727,5,12,0
4829,5,331,0
4929,5,258,0
5029,5,53,0
5130,5,57,0
5231,5,129,0
5331,5,132,0
5432,5,440,0
5533,5,276,0
5634,5,930,1
5734,5,924,1
5834,5,692,1
5936,5,602,0
6036,5,615,0
6136,5,42,0
6237,5,202,0
6338,5,741,1
6438,5,584,0
6539,5,489,0
6639,5,197,0
6740,5,497,0
6841,5,688,1
6941,5,708,1
7042,5,21,0
7143,5,906,1
7243,5,485,0
7344,5,667,1
7444,5,77,0
7545,5,825,1
7646,5,502,0
7746,5,1015,1
7847,5,744,1
7948,5,161,0
8048,5,5,0
8148,5,723,1
8250,5,254,0
8350,5,1005,1
8451,5,421,0
8551,5,213,0
8652,5,243,0
8753,5,729,1
8853,5,228,0
8953,5,91,0
9055,5,1018,1
9155,5,108,0
9255,5,451,0
9356,5,337,0
9457,5,994,1
9558,5,32,0
9658,5,942,1
9758,5,12,0
9860,5,737,1
9960,5,262,0
10060,5,664,0
10162,5,109,0
10262,5,865,1
10362,5,1023,1
10463,5,308,0
10564,5,161,0
10664,5,30,0
10765,5,793,1
10866,5,765,1
10967,5,566,0
11067,5,592,0
11168,5,745,1
11269,5,439,0
11369,5,641,0
11469,5,911,1
11571,5,963,1
11671,5,58,0
11771,5,798,1
11873,5,271,0
11973,5,448,0
12073,5,812,1
12174,5,580,0
12275,5,85,0
12376,5,634,0
12476,5,968,1
12577,5,683,1
12678,5,592,0
12778,5,201,0
12878,5,434,0
12980,5,222,0
13080,5,690,1
13180,5,246,0
13282,5,181,0
13382,5,482,0
13483,5,588,0
13584,5,79,0
13684,5,989,1
13785,5,927,1
13885,5,136,0
13986,5,615,0
14087,5,701,1
14187,5,462,0
14288,5,543,0
14389,5,1010,1
14489,5,353,0
14589,5,256,0
14691,5,910,1
14791,5,632,0
14892,5,407,0
14993,5,407,0
15093,5,270,0
15194,5,564,0
15295,5,610,0
15395,5,775,1
15496,5,215,0
15596,5,94,0
15697,5,71,0
15798,5,673,1
15898,5,88,0
16000,5,41,0
16100,5,142,0
16200,5,859,1
16301,5,930,1
16402,5,1013,1
16502,5,866,1
16603,5,70,0
16704,5,390,0
16804,5,924,1
16905,5,708,1
17005,5,814,1
17106,5,822,1
17207,5,298,0
17307,5,258,0
17409,5,115,0
17509,5,18,0
17609,5,100,0
17710,5,486,0
17811,5,774,1
17911,5,903,1
18012,5,239,0
18113,5,595,0
18213,5,265,0
18314,5,209,0
18415,5,776,1
18515,5,851,1
18616,5,847,1
18716,5,593,0
18818,5,504,0
18918,5,357,0
19018,5,399,0
19120,5,948,1
19220,5,752,1
19320,5,384,0
19421,5,951,1
19522,5,715,1
19622,5,793,1
19723,5,1006,1
19824,5,154,0
19924,5,235,0
20025,5,471,0
20126,5,792,1
20227,5,716,1
20327,5,79,0
20427,5,162,0
20529,5,124,0
20629,5,908,1
20729,5,55,0
20831,5,479,0
20931,5,705,1
21031,5,685,1
21132,5,677,1
21233,5,465,0
21334,5,563,0
21434,5,977,1
21535,5,826,1
21636,5,190,0
21736,5,771,1
21837,5,240,0
21938,5,289,0
22038,5,1001,1
22138,5,689,1
22240,5,951,1
22340,5,396,0
22440,5,203,0
22542,5,472,0
22642,5,47,0
22743,5,127,0
22843,5,498,0
22944,5,691,1
23045,5,652,0
23145,5,621,0
23246,5,584,0
23347,5,464,0
23447,5,286,0
23547,5,72,0
23649,5,27,0
23749,5,557,0
23849,5,335,0
23951,5,943,1
24051,5,881,1
24152,5,113,0
24253,5,128,0
24353,5,351,0
24454,5,215,0
24554,5,498,0
24655,5,979,1
24756,5,414,0
24856,5,500,0
24957,5,964,1
25058,5,753,1
25158,5,411,0
25259,5,916,1
25360,5,406,0
25460,5,744,1
25561,5,29,0
25662,5,939,1
25762,5,129,0
25863,5,147,0
25964,5,947,1
26064,5,371,0
26165,5,638,0
26265,5,283,0
26366,5,551,0
26467,5,217,0
26567,5,196,0
26669,5,313,0
26769,5,855,1
26869,5,534,0
26970,5,100,0
27071,5,833,1
27171,5,441,0
27272,5,565,0
27373,5,21,0
27473,5,232,0
27574,5,240,0
27674,5,572,0
27776,5,661,0
27876,5,728,1
27976,5,488,0
28078,5,462,0
28178,5,798,1
28278,5,280,0
28380,5,868,1
28480,5,762,1
28580,5,941,1
28681,5,872,1
28782,5,221,0
28882,5,764,1
28983,5,857,1
29084,5,562,0
29185,5,19,0
29285,5,769,1
29385,5,265,0
29487,5,57,0
29587,5,779,1
29687,5,15,0
29789,5,31,0
29889,5,485,0
29989,5,970,1
30090,5,113,0
30191,5,104,0
30291,5,5,0
30392,5,504,0
30493,5,566,0
30594,5,814,1
30694,5,664,0
30794,5,220,0
30896,5,714,1
30996,5,685,1
31096,5,200,0
31198,5,106,0
31298,5,731,1
31398,5,493,0
31500,5,293,0
31600,5,128,0
31700,5,538,0
31801,5,666,1
31902,5,669,1
32003,5,719,1
32103,5,678,1
32204,5,38,0
32305,5,835,1
32405,5,281,0
32505,5,221,0
32607,5,431,0
32707,5,232,0
32807,5,58,0
32909,5,649,0
33009,5,197,0
33110,5,31,0
33210,5,316,0
33311,5,621,0
33412,5,793,1
33512,5,669,1
33613,5,824,1
33714,5,734,1
33814,5,16,0
33915,5,998,1
34016,5,864,1
34116,5,195,0
34216,5,635,0
34318,5,488,0
34418,5,626,0
34519,5,707,1
34620,5,498,0
34720,5,691,1
34821,5,278,0
34921,5,352,0
35022,5,990,1
35123,5,395,0
35223,5,457,0
35324,5,345,0
35425,5,2,0
35525,5,697,1
35625,5,528,0
35727,5,50,0
35827,5,866,1
35928,5,205,0
36029,5,697,1
36129,5,577,0
36230,5,247,0
36331,5,627,0
36431,5,630,0
36532,5,501,0
36632,5,467,0
36733,5,475,0
36834,5,183,0
36934,5,675,1
37036,5,213,0
37136,5,931,1
37236,5,647,0
37337,5,121,0
37438,5,383,0
37538,5,708,1
37639,5,897,1
37740,5,922,1
37840,5,515,0
37941,5,350,0
38042,5,202,0
38142,5,624,0
38243,5,332,0
38343,5,493,0
38445,5,947,1
38545,5,625,0
38645,5,784,1
38747,5,238,0
38847,5,127,0
38947,5,544,0
39048,5,875,1
39149,5,780,1
39249,5,904,1
39350,5,261,0
39451,5,682,1
39552,5,1003,1
39652,5,500,0
39753,5,662,0
39854,5,62,0
39954,5,124,0
40054,5,327,0
40156,5,8,0
40256,5,718,1
40356,5,141,0
40458,5,590,0
40558,5,9,0
40658,5,547,0
40759,5,614,0
40860,5,487,0
40961,5,791,1
41061,5,146,0
41162,5,424,0
41263,5,419,0
41363,5,178,0
41463,5,699,1
41565,5,461,0
41665,5,1006,1
41765,5,306,0
41867,5,27,0
41967,5,62,0
42067,5,789,1
42168,5,568,0
42269,5,524,0
42370,5,340,0
42470,5,286,0
42571,5,1008,1
42672,5,915,1
42772,5,520,0
42873,5,136,0
42974,5,662,0
43074,5,159,0
43174,5,372,0
43276,5,87,0
43376,5,431,0
43476,5,225,0
43578,5,389,0
43678,5,648,0
43779,5,898,1
43879,5,874,1
43980,5,65,0
44081,5,925,1
44181,5,600,0
44282,5,49,0
44383,5,284,0
44483,5,791,1
44583,5,900,1
44685,5,949,1
44785,5,840,1
44886,5,590,0
44987,5,748,1
45087,5,987,1
45188,5,825,1
45289,5,575,0
45389,5,618,0
45490,5,266,0
45590,5,970,1
45691,5,785,1
45792,5,953,1
45892,5,541,0
45993,5,240,0
46094,5,134,0
46194,5,619,0
46295,5,848,1
46396,5,267,0
46496,5,653,0
46597,5,494,0
46698,5,80,0
46798,5,543,0
46899,5,727,1
47000,5,747,1
47100,5,923,1
47201,5,206,0
47301,5,9,0
47403,5,161,0
47503,5,381,0
47603,5,372,0
47705,5,786,1
47805,5,587,0
47905,5,326,0
48006,5,773,1
48107,5,685,1
48207,5,252,0
48308,5,263,0
48409,5,375,0
48509,5,958,1
48610,5,729,1
48711,5,641,0
48812,5,109,0
48912,5,141,0
49012,5,894,1
49114,5,644,0
49214,5,136,0
49314,5,84,0
49416,5,330,0
49516,5,536,0
49616,5,728,1
49717,5,772,1
49818,5,92,0
49918,5,435,0
50019,5,296,0
50120,5,59,0
50221,5,10,0
50321,5,373,0
50421,5,811,1
50523,5,136,0
50623,5,283,0
50723,5,607,0
50825,5,592,0
50925,5,271,0
51025,5,685,1
51126,5,181,0
51227,5,400,0
51328,5,16,0
51428,5,486,0
51529,5,829,1
51630,5,27,0
51730,5,102,0
51831,5,335,0
51932,5,395,0
52032,5,474,0
52132,5,557,0
52234,5,959,1
52334,5,307,0
52434,5,715,1
52536,5,619,0
52636,5,226,0
52737,5,28,0
52837,5,654,0
52938,5,435,0
53039,5,748,1
53139,5,681,1
53240,5,729,1
53341,5,469,0
53441,5,959,1
53542,5,532,0
53643,5,588,0
53743,5,8,0
53843,5,745,1
53945,5,599,0
54045,5,638,0
54146,5,720,1
54247,5,465,0
54347,5,741,1
54448,5,741,1
54548,5,608,0
54649,5,903,1
54750,5,849,1
54850,5,777,1
54951,5,947,1
55052,5,576,0
55152,5,664,0
55252,5,773,1
55354,5,640,0
55454,5,839,1
55555,5,317,0
55656,5,444,0
55756,5,814,1
55857,5,616,0
55958,5,410,0
56058,5,315,0
56159,5,1000,1
56259,5,568,0
56360,5,231,0
56461,5,378,0
56561,5,522,0
56663,5,563,0
56763,5,328,0
56863,5,254,0
56965,5,662,0
57065,5,14,0
57165,5,969,1
57266,5,959,1
57367,5,129,0
57467,5,474,0
57568,5,822,1
57669,5,241,0
57769,5,902,1
57870,5,908,1
57970,5,421,0
58072,5,466,0
58172,5,327,0
58272,5,136,0
58374,5,250,0
58474,5,332,0
58574,5,524,0
58675,5,375,0
58776,5,907,1
58876,5,752,1
58977,5,465,0
59078,5,291,0
59179,5,276,0
59279,5,552,0
59380,5,852,1
59481,5,917,1
59581,5,867,1
59681,5,869,1
59783,5,790,1
59883,5,719,1
59983,5,576,0
60085,5,646,0
60185,5,795,1
60285,5,829,1
60387,5,627,0
60487,5,383,0
60588,5,979,1
60688,5,93,0
60789,5,955,1
60890,5,89,0
60990,5,796,1
61091,5,347,0
61192,5,605,0
61292,5,549,0
61392,5,145,0
61494,5,366,0
61594,5,689,1
61694,5,216,0
61796,5,353,0
61896,5,118,0
61997,5,433,0
62097,5,78,0
62198,5,526,0
62299,5,103,0
62399,5,722,1
62500,5,976,1
62601,5,313,0
62701,5,343,0
62802,5,1008,1
62903,5,975,1
63003,5,364,0
63104,5,903,1
63205,5,387,0
63305,5,587,0
63406,5,1011,1
63507,5,40,0
63607,5,340,0
63708,5,261,0
63808,5,904,1
63909,5,54,0
64010,5,523,0
64110,5,935,1
64211,5,199,0
64312,5,453,0
64412,5,248,0
64514,5,901,1
64614,5,577,0
64714,5,867,1
64815,5,847,1
64916,5,183,0
65016,5,954,1
65117,5,478,0
65218,5,351,0
65318,5,404,0
65419,5,511,0
65519,5,615,0
65620,5,541,0
65721,5,31,0
65821,5,491,0
65923,5,476,0
66023,5,445,0
66123,5,417,0
66225,5,790,1
66325,5,722,1
66425,5,474,0
66526,5,887,1
66627,5,912,1
66727,5,824,1
66828,5,493,0
66929,5,118,0
67030,5,121,0
67130,5,137,0
67230,5,620,0
67332,5,809,1
67432,5,281,0
67532,5,395,0
67634,5,294,0
67734,5,87,0
67834,5,181,0
67935,5,396,0
68036,5,336,0
68136,5,234,0
68237,5,5,0
68338,5,591,0
68439,5,868,1
68539,5,847,1
68640,5,577,0
68741,5,553,0
68841,5,712,1
68941,5,186,0
69043,5,141,0
69143,5,909,1
69243,5,596,0
69345,5,75,0
69445,5,882,1
69545,5,886,1
69646,5,51,0
69747,5,733,1
69848,5,832,1
69948,5,117,0
70049,5,835,1
70150,5,664,0
70250,5,772,1
70350,5,871,1
70452,5,406,0
70552,5,736,1
70652,5,56,0
70754,5,98,0
70854,5,623,0
70955,5,751,1
71055,5,914,1
71156,5,823,1
71257,5,462,0
71357,5,91,0
71458,5,609,0
71559,5,91,0
71659,5,448,0
71760,5,646,0
71861,5,119,0
71961,5,750,1
72061,5,858,1
72163,5,191,0
72263,5,189,0
72364,5,133,0
72465,5,759,1
72565,5,575,0
72666,5,895,1
72766,5,392,0
72867,5,360,0
72968,5,715,1
73068,5,27,0
73169,5,607,0
73270,5,442,0
73370,5,588,0
73470,5,787,1
73572,5,777,1
73672,5,753,1
