time,Strain_pin01,Strain_pin05,Status
1.0,5.0,79.0,0.0
1.0,5.0,804.0,1.0
1.0,5.0,894.0,1.0
1.0,5.0,291.0,0.0
1.0,5.0,5.0,0.0
2.0,5.0,440.0,0.0
3.0,5.0,398.0,0.0
4.0,5.0,210.0,0.0
5.0,5.0,282.0,0.0
6.0,5.0,53.0,0.0
7.0,5.0,576.0,0.0
8.0,5.0,157.0,0.0
9.0,5.0,177.0,0.0
10.0,5.0,384.0,0.0
11.0,5.0,203.0,0.0
12.0,5.0,337.0,0.0
13.0,5.0,909.0,1.0
14.0,5.0,121.0,0.0
15.0,5.0,864.0,1.0
16.0,5.0,790.0,1.0
17.0,5.0,723.0,1.0
18.0,5.0,134.0,0.0
19.0,5.0,50.0,0.0
20.0,5.0,923.0,1.0
21.0,5.0,368.0,0.0
22.0,5.0,403.0,0.0
23.0,5.0,668.0,1.0
24.0,5.0,970.0,1.0
25.0,5.0,156.0,0.0
26.0,5.0,236.0,0.0
27.0,5.0,967.0,1.0
28.0,5.0,904.0,1.0
29.0,5.0,1018.0,1.0
30.0,5.0,699.0,1.0
31.0,5.0,716.0,1.0
32.0,5.0,317.0,0.0
33.0,5.0,666.0,1.0
34.0,5.0,870.0,1.0
35.0,5.0,617.0,0.0
36.0,5.0,579.0,0.0
37.0,5.0,967.0,1.0
38.0,5.0,152.0,0.0
39.0,5.0,416.0,0.0
40.0,5.0,679.0,1.0
42.0,5.0,685.0,1.0
43.0,5.0,536.0,0.0
44.0,5.0,540.0,0.0
45.0,5.0,164.0,0.0
46.0,5.0,79.0,0.0
47.0,5.0,99.0,0.0
48.0,5.0,360.0,0.0
49.0,5.0,885.0,1.0
50.0,5.0,998.0,1.0
51.0,5.0,316.0,0.0
52.0,5.0,713.0,1.0
53.0,5.0,381.0,0.0
54.0,5.0,489.0,0.0
55.0,5.0,581.0,0.0
56.0,5.0,1013.0,1.0
57.0,5.0,782.0,1.0
58.0,5.0,255.0,0.0
59.0,5.0,271.0,0.0
60.0,5.0,894.0,1.0
61.0,5.0,478.0,0.0
